epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90137,1.07382,1.37781,1.17032,0.41278,0.36293,0.30122,0.11266,2.49869,2.58815,2.44455,0.00011432,0.00011432,0.00011432
2,17.6538,1.10505,1.32554,1.18796,0.28289,0.32536,0.25938,0.11891,2.30022,2.46147,2.29088,0.000241968,0.000241968,0.000241968
3,19.9375,1.11334,1.33278,1.18911,0.41892,0.30781,0.30064,0.10246,2.58526,2.55558,2.42563,0.000368597,0.000368597,0.000368597
4,22.1244,1.03319,1.3014,1.13269,0.44294,0.41723,0.36971,0.13052,2.58942,2.29008,2.24051,0.000494208,0.000494208,0.000494208
5,24.3176,1.00398,1.28127,1.14138,0.56839,0.26954,0.29993,0.11447,2.59338,2.45155,2.33544,0.0006188,0.0006188,0.0006188
6,26.52,1.0997,1.32761,1.18669,0.30296,0.26954,0.18863,0.0675,2.67409,2.65857,2.40828,0.000742374,0.000742374,0.000742374
7,28.6658,1.09417,1.29414,1.16613,0.41633,0.3126,0.319,0.10985,2.62987,2.6457,2.51947,0.000864929,0.000864929,0.000864929
8,30.798,1.07204,1.20406,1.16661,0.55536,0.36045,0.34582,0.14576,2.58693,2.47168,2.36856,0.000986466,0.000986466,0.000986466
9,32.9689,1.10024,1.27382,1.16574,0.62092,0.3856,0.39557,0.18814,2.5412,2.35331,2.38314,0.00110698,0.00110698,0.00110698
10,35.1306,1.11529,1.30575,1.19481,0.38605,0.2443,0.25695,0.10173,2.65178,2.97911,2.58327,0.00122648,0.00122648,0.00122648
11,37.2898,1.19318,1.40609,1.19492,0.37048,0.26475,0.25843,0.11318,2.66319,2.97189,2.55225,0.00134496,0.00134496,0.00134496
12,39.438,1.1954,1.38392,1.20786,0.5632,0.47827,0.49031,0.21841,2.36855,2.02804,2.21497,0.00136675,0.00136675,0.00136675
13,41.608,1.143,1.3587,1.20917,0.30761,0.29984,0.18517,0.07884,2.67768,2.89047,2.54844,0.00136109,0.00136109,0.00136109
14,43.7405,1.0546,1.29814,1.16769,0.21671,0.27432,0.15436,0.05766,2.56078,3.14728,2.50105,0.00135544,0.00135544,0.00135544
15,46.0043,1.08137,1.26837,1.19182,0.24645,0.25199,0.22045,0.05821,2.69543,2.87237,2.63839,0.00134978,0.00134978,0.00134978
16,48.1833,1.10408,1.25748,1.17194,0.6882,0.19936,0.19319,0.04808,3.00341,3.34241,2.92733,0.00134412,0.00134412,0.00134412
17,50.3247,1.20685,1.36171,1.25308,0.65334,0.16906,0.17315,0.06868,2.88107,2.95728,2.72299,0.00133846,0.00133846,0.00133846
18,52.4267,1.15668,1.34816,1.20702,0.28213,0.25199,0.25432,0.10024,2.59249,2.8274,2.40809,0.0013328,0.0013328,0.0013328
19,54.5895,1.13345,1.28283,1.16514,0.30534,0.20562,0.20571,0.08871,2.58759,2.94378,2.21076,0.00132714,0.00132714,0.00132714
20,56.7728,1.09584,1.27133,1.16336,0.49397,0.26469,0.2773,0.11193,2.65242,2.7163,2.32183,0.00132148,0.00132148,0.00132148
21,58.9556,1.10827,1.20758,1.16486,0.52441,0.33607,0.3855,0.15486,2.54012,2.42297,2.2653,0.00131582,0.00131582,0.00131582
