epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.00577,2.00704,4.52362,1.92828,0.52134,0.10845,0.14517,0.05456,2.71115,4.38119,2.75241,0.00011432,0.00011432,0.00011432
2,20.0468,1.65524,3.19403,1.66981,0.08779,0.32536,0.06212,0.02537,2.40908,13.4612,2.49833,0.000242071,0.000242071,0.000242071
3,23.602,1.44595,2.63108,1.51083,0.49973,0.18182,0.15835,0.07142,2.64002,3.83143,2.7469,0.000368913,0.000368913,0.000368913
4,27.0897,1.29705,2.13332,1.37975,0.28895,0.24721,0.15827,0.08102,2.54203,5.26197,2.75202,0.000494845,0.000494845,0.000494845
5,30.5872,1.31685,1.99179,1.39612,0.53369,0.20415,0.20257,0.06715,2.69944,5.03611,2.95087,0.000619868,0.000619868,0.000619868
6,33.9724,1.34666,1.81268,1.41061,0.45477,0.19693,0.12084,0.03385,2.7153,7.8883,3.1277,0.000743981,0.000743981,0.000743981
7,37.3178,1.34085,1.71703,1.43419,0.13268,0.16906,0.13982,0.04896,2.9338,5.15024,3.94496,0.000867185,0.000867185,0.000867185
8,40.6883,1.27566,1.50707,1.35193,0.13949,0.1563,0.10351,0.03159,2.98409,6.72178,3.25794,0.000989479,0.000989479,0.000989479
9,44.0785,1.38334,1.57866,1.36424,0.32471,0.22967,0.18405,0.06503,2.75102,3.91492,2.79448,0.00111086,0.00111086,0.00111086
10,47.4553,1.38134,1.61628,1.40595,0.08769,0.13876,0.09101,0.02316,3.16709,7.68936,4.29254,0.00123134,0.00123134,0.00123134
11,50.8529,1.41051,1.69965,1.44211,0.10642,0.06061,0.03961,0.01278,3.29497,12.3773,3.59587,0.00135091,0.00135091,0.00135091
12,54.3215,1.37217,1.60365,1.4038,0.01455,0.10845,0.00698,0.00212,3.11171,6.06203,3.73196,0.00137342,0.00137342,0.00137342
13,57.773,1.42092,1.63046,1.39836,0.06918,0.09091,0.02716,0.00755,3.07619,7.36844,3.588,0.00136837,0.00136837,0.00136837
